Liczba zwierząt, Średnia energia zwierząt, Średnia długość życia, Liczba roślin, Wolne pola, Średnia ilość dzieci
New Simulation started on 2024-01-17 22:11:47
51,8,0,9,383,0
52,7,0,12,379,0
56,6,0,17,375,0
60,5,0,19,371,0
63,4,0,20,368,0
62,3,4,23,366,0
55,2,4,23,368,0
54,2,4,27,366,0
41,1,6,30,371,0
36,1,6,34,371,0
18,1,7,37,386,0
14,1,7,40,388,0
13,1,7,43,385,0
3,3,8,48,390,0
2,4,8,53,386,0
2,3,8,58,381,0
1,5,8,62,378,0
1,4,8,67,373,0
1,3,8,72,368,0
1,2,8,75,365,0
1,1,8,80,360,0
1,0,8,85,355,0
0,0,8,89,352,0
New Simulation started on 2024-01-17 23:23:51
168,8,0,9,302,0
192,6,0,12,293,0
217,4,0,11,277,0
229,3,3,12,267,0
222,2,3,10,270,0
206,2,3,12,271,0
149,2,4,12,302,0
130,1,4,14,307,0
68,1,5,16,359,0
54,1,5,17,371,0
26,2,6,20,396,0
20,1,6,25,396,0
20,1,6,27,395,0
9,1,6,31,401,0
7,1,6,36,398,0
7,1,6,39,395,0
3,2,6,44,394,0
3,1,6,49,389,0
3,0,6,54,384,0
0,0,6,57,384,0
New Simulation started on 2024-01-17 23:24:17
173,7,0,10,309,0
202,5,0,12,290,0
232,4,0,14,268,0
240,3,3,10,262,0
234,2,3,13,259,0
220,1,3,14,254,0
147,1,4,12,296,0
123,1,4,14,314,0
68,1,5,17,361,0
49,0,5,22,370,0
15,0,6,26,400,0
7,1,6,30,404,0
5,1,6,34,402,0
2,3,6,38,401,0
2,2,6,43,396,0
2,1,6,47,392,0
2,0,6,51,388,0
0,0,6,55,386,0
New Simulation started on 2024-01-17 23:39:06
5,9,0,10,426,0
5,8,0,15,421,0
5,7,0,20,416,0
5,6,0,25,411,0
5,5,0,29,407,0
5,4,0,33,403,0
5,3,0,38,398,0
New Simulation started on 2024-01-18 00:02:07
5,9,0,9,427,0
5,8,0,14,422,0
5,7,0,19,417,0
5,6,0,24,412,0
5,5,0,29,407,0
5,4,0,33,403,0
5,3,0,38,398,0
5,2,0,43,393,0
5,1,0,48,388,0
5,1,0,51,385,0
1,5,10,56,384,0
1,4,10,61,379,0
1,3,10,66,374,0
1,2,10,71,369,0
1,1,10,74,366,0
1,0,10,79,361,0
0,0,11,84,357,0
New Simulation started on 2024-01-19 11:35:40
5,9,0,11,425,0
5,8,0,16,420,0
5,7,0,21,415,0
5,6,0,26,410,0
5,5,0,31,405,0
5,4,0,36,400,0
5,3,0,41,395,0
5,2,0,46,390,0
5,1,0,50,386,0
5,0,0,54,382,0
1,2,10,59,381,0
1,1,10,64,376,0
1,3,10,68,372,0
1,2,10,73,367,0
1,1,10,77,363,0
1,0,10,82,358,0
0,0,11,87,354,0
New Simulation started on 2024-01-19 11:36:00
54,8,0,9,386,0
60,6,0,13,381,0
63,5,0,16,370,0
66,4,3,21,367,0
69,3,3,25,361,0
67,2,3,27,356,0
52,2,5,30,367,0
50,1,4,31,362,0
29,2,6,35,379,0
25,1,6,40,377,0
13,1,6,45,383,0
8,2,6,49,384,0
8,1,6,53,381,0
4,1,7,56,381,0
2,2,7,61,378,0
2,1,7,66,373,0
1,2,7,71,369,0
1,1,7,74,366,0
1,0,7,78,362,0
